name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url
108,1,2019,55.67785,12.5980835,København,Denmark,1401 K,Modern cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108
21212,1,2019,55.95674,-3.18018,Edinburgh,United Kingdom,EH7 5AB,Creative,N/A,https://guide.michelin.com/gb/en/city-of-edinburgh/edinburgh/restaurant/21212
28+,1,2019,57.69809,11.97377,Göteborg,Sweden,411 34,Modern cuisine,$$$,https://guide.michelin.com/se/en/vastra-gotaland/goteborg/restaurant/28
360º,1,2019,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA
8 1/2 Otto e Mezzo - Bombana,1,2019,22.14918,113.55393,Macau,Macau,N/A,Italian,$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/8-1-2-otto-e-mezzo-bombana
8½ Otto e Mezzo - Bombana,3,2019,22.28189,114.15839,Hong Kong,Hong Kong,N/A,Italian,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana
A. Wong,1,2019,51.49318,-0.14128,Victoria,United Kingdom,SW1V 1DE,Chinese,N/A,https://guide.michelin.com/gb/en/greater-london/victoria/restaurant/a-wong
a‚o‚c,2,2019,55.68305,12.58921,København,Denmark,1302 K,Modern cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac
Acadia,2,2019,41.85904,-87.62562,Chicago,Chicago,60616,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia
Acquerello,2,2019,37.79167,-122.42131,San Francisco,California,94109,Italian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello
Adam's,1,2019,52.47964,-1.900286,Birmingham,United Kingdom,B2 5UG,Modern cuisine,N/A,https://guide.michelin.com/gb/en/west-midlands/birmingham/restaurant/adam-s
Addison,1,2019,32.939903,-117.20013,San Diego,California,92130,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison
aend,1,2019,48.18957,16.34115,Wien,Austria,1010,Modern cuisine,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/aend
Agern,1,2019,40.75234,-73.9775,New York,New York City,10017,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern
Agrikultur,1,2019,59.34777,18.05863,Stockholm,Sweden,113 54,Modern cuisine,$$$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/agrikultur
Ah Yat Harbour View (Tsim Sha Tsui),1,2019,22.296984,114.17197,Hong Kong,Hong Kong,N/A,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui
