name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url,price_str,age_of_recognition,geo_group,cuisine_group,has_url,price_numeric
108,1,2019-01-01,55.67785,12.5980835,København,Denmark,1401 K,Modern cuisine,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,3,4,North-East,Modern cuisine,1,3.0
21212,1,2019-01-01,55.95674,-3.18018,Edinburgh,United Kingdom,EH7 5AB,Creative,Not Specified,https://guide.michelin.com/gb/en/city-of-edinburgh/edinburgh/restaurant/21212,Not Specified,4,North-West,Creative,1,
28+,1,2019-01-01,57.69809,11.97377,Göteborg,Sweden,411 34,Modern cuisine,3,https://guide.michelin.com/se/en/vastra-gotaland/goteborg/restaurant/28,3,4,North-East,Modern cuisine,1,3.0
360º,1,2019-01-01,42.641563,18.111523,Dubrovnik,Croatia,20000,Modern cuisine,5,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,5,4,North-East,Modern cuisine,1,5.0
8 1/2 Otto e Mezzo - Bombana,1,2019-01-01,22.14918,113.55393,Macau,Macau,Unknown,Italian,3,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/8-1-2-otto-e-mezzo-bombana,3,4,North-East,Italian,1,3.0
8½ Otto e Mezzo - Bombana,3,2019-01-01,22.28189,114.15839,Hong Kong,Hong Kong,Unknown,Italian,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,4,4,North-East,Italian,1,4.0
A. Wong,1,2019-01-01,51.49318,-0.14128,Victoria,United Kingdom,SW1V 1DE,Chinese,Not Specified,https://guide.michelin.com/gb/en/greater-london/victoria/restaurant/a-wong,Not Specified,4,North-West,Chinese,1,
a‚o‚c,2,2019-01-01,55.68305,12.58921,København,Denmark,1302 K,Modern cuisine,4,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/a%E2%80%9Ao%E2%80%9Ac,4,4,North-East,Modern cuisine,1,4.0
Acadia,2,2019-01-01,41.85904,-87.62562,Chicago,Chicago,60616,Contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/acadia,4,4,North-West,Contemporary,1,4.0
Acquerello,2,2019-01-01,37.79167,-122.42131,San Francisco,California,94109,Italian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/acquerello,4,4,North-West,Italian,1,4.0
