"Country","NGDP_R","NGDP_RPCH","NGDP","NGDPD","PPPGDP","NGDP_D","NGDPRPC","NGDPRPPPPC","NGDPPC","NGDPDPC","PPPPC","NGAP_NPGDP","PPPSH","PPPEX","NID_NGDP","NGSD_NGDP","PCPI","PCPIPCH","PCPIE","PCPIEPCH","TM_RPCH","TMG_RPCH","TX_RPCH","TXG_RPCH","LUR","LE","LP","GGR","GGR_NGDP","GGX","GGX_NGDP","GGXCNL","GGXCNL_NGDP","GGSB","GGSB_NPGDP","GGXONLB","GGXONLB_NGDP","GGXWDN","GGXWDN_NGDP","GGXWDG","GGXWDG_NGDP","NGDP_FY","BCA","BCA_NGDPD"
"Australia",2051.054,4.693,2172.566,1633.29,1450.081,105.924,79778.845,51340.847,84505.238,63529.289,56403.077,-0.987,0.992,1.498,22.939,26.416,119.45,2.819,121.4,3.672,5.783,10.211,-1.584,1.318,5.1,13.05,25.709,763.262,35.132,930.67,42.837,-167.409,-7.706,-162.111,-7.676,-144.705,"-6.6609999999999996",775.158,35.679,1299.324,59.806,2172.566,57.761,3.537
"Brazil",1210.933,4.619,8679.49,1608.08,3435.897,716.761,5695.592,14710.218,40823.756,7563.562,16160.652,NA,2.351,2.526,16.732,14.995,38400665110472,8.302,40326453615754.1,10.061,14.893,22.022,3.015,4.753,14.201,NA,212.609,2736.24,31.525,3119.318,35.939,-383.079,-4.414,-352.208,-4.011,65.312,"0.752",4966.921,57.226,8073.084,93.013,8679.49,-27.926,-1.737
"Canada",2090.636,4.563,2496.17,1990.762,2025.395,119.398,54691.245,48229.11,65300.047,52078.515,52984.521,-1.536,1.386,1.232,23.692,23.754,141.608,3.395,144.433,4.738,7.417,8.573,1.371,1.864,7.433,18.872,38.226,1023.742,41.013,1141.246,45.72,-117.504,-4.707,-91.838,-3.623,-132.289,"-5.3",829.749,33.241,2797.132,112.057,2496.17,1.238,0.062
"China",98847.296,8.08,112585.42,17458.036,27206.271,113.898,69975.432,17531.136,79700.849,12358.797,19259.713,NA,18.619,4.138,41.64,43.457,112.397,0.853,112.997,1.756,10.841,12.058,18.148,16.796,3.96,NA,1412.6,30451.112,27.047,37199.629,33.041,-6748.517,-5.994,-6205.402,-5.431,-5702.917,"-5.0650000000000004",NA,NA,82473.13,73.254,112585.42,317.301,1.818
"France",2296.579,6.978,2481.593,2935.488,3361.627,108.056,35090.425,46753.81,37917.334,44852.597,51363.756,-1.837,2.301,0.738,24.993,24.059,107.676,2.064,109.087,3.321,7.821,9.524,9.238,8.292,7.85,27.676,65.447,1310.621,52.814,1485.551,59.863,-174.93,-7.049,-148.386,-5.87,-144.349,"-5.8170000000000002",2476.851,99.809,2787.602,112.331,2481.593,-27.42,-0.934
"Germany",3183.16,2.787,3570.62,4225.924,4856.766,112.172,38261.089,53138.128,42918.298,50794.947,58377.571,-2.073,3.324,0.735,22.65,30.08,109.242,3.212,111.5,5.687,9.133,8.472,9.752,9.921,3.517,41.44,83.196,1705.765,47.772,1838.219,51.482,-132.454,-3.71,-95.027,-2.606,-117.141,"-3.2810000000000001",1751.324,49.048,2506.784,70.206,3570.62,313.956,7.429
"India",147716.8,8.948,236438.8,3041.985,10218.623,160.062,106117.491,6682.05,169854.02,2185.315,7340.903,NA,6.993,23.138,31.197,29.575,173.905,5.517,166.186,6.144,22.083,22.75,20.869,22.5,NA,NA,1392.012,46676.125,19.741,71149.635,30.092,-24473.51,-10.351,-21628.56,-8.827,-12258.039,"-5.1840000000000002",NA,NA,205130,86.758,236438.8,-49.344,-1.622
"Indonesia",11118868.5,3.691,16970789.2,1186.067,3566.283,152.631,40840880.666,11923.685,62335657.313,4356.56,13099.366,NA,2.441,4758.677,31.46,31.74,106.546,1.56,107.66,1.874,15.766,15.766,17.934,17.934,6.49,NA,272.249,2307072.593,13.594,3090777.293,18.212,-783704.7,-4.618,-642254.182,-3.611,-440209.2,"-2.5939999999999999",6709692.829,39.537,7268288.989,42.828,16970789.2,3.326,0.28
"Islamic Republic of Iran",15112985.914,4.011,59904601.5,1426.3,1436.872,396.378,177840251.944,15390.688,704920224.515,16783.815,16908.217,NA,0.983,41690.986,40.869,42.876,367.54,40.132,417.122,34.686,3.168,3.168,21.456,20.46,9.812,NA,84.981,4896140.001,8.173,7615968.425,12.713,-2719828.423,-4.54,NA,NA,-2308163.97,"-3.8530000000000002",24833604.588,41.455,28959381.838,48.342,59904601.5,28.628,2.007
"Italy",1677.444,6.636,1775.436,2101.276,2734.428,105.842,28317.88,42018.393,29972.146,35472.831,46161.424,-4.101,1.871,0.649,20.007,23.295,105.025,1.941,107.8,4.155,14.526,14.52,13.292,13.251,9.542,22.554,59.236,857.081,48.274,984.47,55.449,-127.389,-7.175,-85.789,-4.634,-67.385,"-3.7949999999999999",2454.875,138.269,2678.397,150.859,1775.436,69.088,3.288
